requirement_id,classification,conformance_level,original_mvp_status,original_implementation_slice,requirement_title,requirement_summary,current_mvp_assessment,current_mvp_implemented_content,current_mvp_score_10,current_mvp_gap_and_next_work,current_mvp_evidence_refs,fp_workstream_codes,fp_implementation_summary,fp_mapping_basis,original_trace_notes,current_repo_verification_basis,planned_evidence_refs,recommended_conformance_level,review_resolution_notes
SH-CONF-001,Core,Kernel,not_staged_for_mvp,,Conformance Level Mapping,"Conformance Level Mapping: Core and Extension classify product layering, not implementation order. Before implementation planning, requirements must also be mapped to conformance levels: Conformance levels must be recorded in a separate conformance map or implementation-slice document.",not_implemented_or_document_only_in_mvp,"문서화된 conformance map, MVP cut, machine-readable trace CSV로 MVP/후속 범위를 구분함.",2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,docs/requirements/standard-harness-conformance-map-v1.md; docs/requirements/standard-harness-conformance-trace-v1.csv,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel,Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-CONF-002,Core,Kernel,not_staged_for_mvp,,MVP Cut Boundary,"MVP Cut Boundary: MVP selection must be a conformance and implementation-slice decision, not a rewrite of final product requirements.",not_implemented_or_document_only_in_mvp,"문서화된 conformance map, MVP cut, machine-readable trace CSV로 MVP/후속 범위를 구분함.",2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,docs/requirements/standard-harness-conformance-map-v1.md; docs/requirements/standard-harness-conformance-trace-v1.csv,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel,Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-DOCBASE-001,Core,Kernel,not_staged_for_mvp,,Downstream Contract Separation,"Downstream Contract Separation: This document is the final product requirements baseline. Implementation must derive separate downstream documents for: Downstream documents may refine how a requirement is implemented, validated, or staged, but must not redefine product meaning or remove approval, evidence, r...",not_implemented_or_document_only_in_mvp,"최종 요구사항, architecture contract, validation/eval contract, MVP cut, implementation plan을 분리해 downstream contract boundary를 둠.",2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,docs/requirements/*; docs/architecture/*; docs/implementation/*,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel,Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-CONF-003,Core,Kernel,not_staged_for_mvp,,Extension Semantics,"Extension Semantics: Extension means a capability is built on top of the Core foundation or activated by profile, deployment mode, scale, or integrity level.",not_implemented_or_document_only_in_mvp,"문서화된 conformance map, MVP cut, machine-readable trace CSV로 MVP/후속 범위를 구분함.",2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,docs/requirements/standard-harness-conformance-map-v1.md; docs/requirements/standard-harness-conformance-trace-v1.csv,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel,Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-VISION-001,Core,Kernel,not_staged_for_mvp,,Quality Operating System,"Quality Operating System: Standard Harness must be a quality operating system for LLM-assisted product development, not merely an automation script, prompt collection, or project template.",not_implemented_or_document_only_in_mvp,MVP는 로컬 CLI 기반 packet-state-evidence-gate-closeout kernel로 제품 thesis를 최소 형태로 입증함.,2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,README.md; docs/requirements/standard-harness-mvp-cut-v1.md,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel,Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-VISION-002,Core,Kernel,not_staged_for_mvp,,Purpose of the Harness,Purpose of the Harness: The purpose of Standard Harness is not to make probabilistic LLM output deterministic.,not_implemented_or_document_only_in_mvp,MVP는 로컬 CLI 기반 packet-state-evidence-gate-closeout kernel로 제품 thesis를 최소 형태로 입증함.,2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,README.md; docs/requirements/standard-harness-mvp-cut-v1.md,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel,Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-VISION-003,Core,unmapped_review_required,not_staged_for_mvp,,Target Domain,"Target Domain: Standard Harness must target LLM-assisted product development, where LLMs participate in requirements analysis, architecture, implementation planning, coding, testing, review, documentation, reporting, and long-term memory management.",not_implemented_or_document_only_in_mvp,MVP는 로컬 CLI 기반 packet-state-evidence-gate-closeout kernel로 제품 thesis를 최소 형태로 입증함.,2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,README.md; docs/requirements/standard-harness-mvp-cut-v1.md,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,Not assigned in grouped conformance map; must be classified before implementation planning.,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel-boundary,Resolved for planning report: original trace conformance_level is unmapped_review_required; recommended_conformance_level=Kernel-boundary; fp_workstream_codes=FP-00;FP-13; final implementation evidence has been recorded in planned_evidence_refs/current_repo_verification_basis. Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-VISION-004,Core,unmapped_review_required,not_staged_for_mvp,,Good Harness Definition,Good Harness Definition: A good harness must satisfy these properties:,not_implemented_or_document_only_in_mvp,MVP는 로컬 CLI 기반 packet-state-evidence-gate-closeout kernel로 제품 thesis를 최소 형태로 입증함.,2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,README.md; docs/requirements/standard-harness-mvp-cut-v1.md,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,Not assigned in grouped conformance map; must be classified before implementation planning.,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel-boundary,Resolved for planning report: original trace conformance_level is unmapped_review_required; recommended_conformance_level=Kernel-boundary; fp_workstream_codes=FP-00;FP-13; final implementation evidence has been recorded in planned_evidence_refs/current_repo_verification_basis. Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-VISION-005,Core,unmapped_review_required,not_staged_for_mvp,,Bad Harness Definition,Bad Harness Definition: A bad harness is one where: ## 2A. LLM Work Product and Productive Use,not_implemented_or_document_only_in_mvp,MVP는 로컬 CLI 기반 packet-state-evidence-gate-closeout kernel로 제품 thesis를 최소 형태로 입증함.,2,MVP에서는 직접 구현되지 않았거나 문서/경계 수준에 머묾. 구현 여부는 FP workstream에서 판단해야 함.,README.md; docs/requirements/standard-harness-mvp-cut-v1.md,FP-00;FP-13,"Final-product implemented coverage: FP-00: implemented conformance-slice mapping, trace coverage baseline, and slice-level requirement coverage controls | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation",requirement prefix capability mapping,Not assigned in grouped conformance map; must be classified before implementation planning.,Current repository final-product implementation evidence: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-00: docs/implementation/standard-harness-final-product-conformance-slices-v1.md; tests/contract/test_conformance_trace_coverage.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py,Kernel-boundary,Resolved for planning report: original trace conformance_level is unmapped_review_required; recommended_conformance_level=Kernel-boundary; fp_workstream_codes=FP-00;FP-13; final implementation evidence has been recorded in planned_evidence_refs/current_repo_verification_basis. Final-product implementation completed for FP-00;FP-13. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval.
SH-LLM-001,Core,unmapped_review_required,not_staged_for_mvp,,LLM Work Product Classification,"LLM Work Product Classification: The harness must classify LLM outputs by authority and use, including draft, synthesis, source comparison, recommendation, patch proposal, test proposal, risk discovery, evidence claim, review finding, state mutation request, and approval request.",not_implemented_in_mvp,MVP에는 LLM output authority classification 또는 typed state mutation request model이 없음.,0,"LLM output class enum, typed state mutation request, approval request boundary, unsupported draft/proposal promotion checks를 FP-05/FP-07/FP-09에서 구현해야 함.",,FP-05;FP-07;FP-09;FP-10;FP-13;FP-07A,"Final-product implemented coverage: FP-05: implemented adapter contract matrix and adapter invocation ledger controls | FP-07: implemented workflow orchestration, review bundle freshness, LLM work-product governance, roles, challenge review, and adjudication | FP-09: implemented policy bundles, dependency intake, security/privacy/IP governance, waiver lifecycle, and domain profiles | FP-10: implemented PMO projections, cost tracking, dashboard read model, operational memory, and human-control snapshot | FP-13: implemented final conformance reporting, inheritance traceability, docs command inventory, self-improvement lifecycle, and release-readiness documentation | FP-07A: implemented LLM work-product and report-claim governance checks","review correction: LLM output governance maps to adapters, workflow, and policy",Not assigned in grouped conformance map; must be classified before implementation planning.,Current repository final-product implementation evidence: FP-05: src/standard_harness/adapters/contract_matrix.py; src/standard_harness/adapters/invocation.py; tests/contract/test_adapter_contract_matrix.py; tests/contract/test_adapter_invocation_ledger.py | FP-07: src/standard_harness/workflow/orchestration.py; src/standard_harness/reviews/bundles.py; src/standard_harness/reviews/adjudication.py; src/standard_harness/llm/work_products.py; src/standard_harness/llm/report_claims.py; src/standard_harness/roles/cards.py; src/standard_harness/roles/skill_policy.py; tests/contract/test_workflow_orchestration.py; tests/contract/test_review_bundle_staleness.py; tests/contract/test_llm_work_product_governance.py; tests/contract/test_role_cards_skill_policy.py; tests/contract/test_challenge_review_adjudication.py; tests/evals/test_stale_context_rejected.py | FP-09: src/standard_harness/policy/bundles.py; src/standard_harness/policy/dependency.py; src/standard_harness/policy/profiles.py; src/standard_harness/policy/risk.py; src/standard_harness/policy/release.py; src/standard_harness/security/privacy.py; src/standard_harness/security/redaction.py; src/standard_harness/security/ip_license.py; src/standard_harness/waivers/lifecycle.py; tests/contract/test_policy_bundle_profile.py; tests/contract/test_dependency_intake_policy.py; tests/contract/test_security_privacy_ip_policy.py; tests/contract/test_waiver_lifecycle.py | FP-10: src/standard_harness/pmo/projections.py; src/standard_harness/pmo/cost.py; src/standard_harness/dashboard/read_model.py; src/standard_harness/memory/operational.py; src/standard_harness/memory/human_control_snapshot.py; tests/contract/test_pmo_projection.py; tests/contract/test_cost_tracking.py; tests/contract/test_operational_memory.py; tests/contract/test_human_control_snapshot.py; tests/integration/test_dashboard_read_model.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | FP-07A: src/standard_harness/llm/work_products.py; src/standard_harness/llm/report_claims.py; tests/contract/test_llm_work_product_governance.py | Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. Release docs: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md.,Implemented evidence refs: FP-05: src/standard_harness/adapters/contract_matrix.py; src/standard_harness/adapters/invocation.py; tests/contract/test_adapter_contract_matrix.py; tests/contract/test_adapter_invocation_ledger.py | FP-07: src/standard_harness/workflow/orchestration.py; src/standard_harness/reviews/bundles.py; src/standard_harness/reviews/adjudication.py; src/standard_harness/llm/work_products.py; src/standard_harness/llm/report_claims.py; src/standard_harness/roles/cards.py; src/standard_harness/roles/skill_policy.py; tests/contract/test_workflow_orchestration.py; tests/contract/test_review_bundle_staleness.py; tests/contract/test_llm_work_product_governance.py; tests/contract/test_role_cards_skill_policy.py; tests/contract/test_challenge_review_adjudication.py; tests/evals/test_stale_context_rejected.py | FP-09: src/standard_harness/policy/bundles.py; src/standard_harness/policy/dependency.py; src/standard_harness/policy/profiles.py; src/standard_harness/policy/risk.py; src/standard_harness/policy/release.py; src/standard_harness/security/privacy.py; src/standard_harness/security/redaction.py; src/standard_harness/security/ip_license.py; src/standard_harness/waivers/lifecycle.py; tests/contract/test_policy_bundle_profile.py; tests/contract/test_dependency_intake_policy.py; tests/contract/test_security_privacy_ip_policy.py; tests/contract/test_waiver_lifecycle.py | FP-10: src/standard_harness/pmo/projections.py; src/standard_harness/pmo/cost.py; src/standard_harness/dashboard/read_model.py; src/standard_harness/memory/operational.py; src/standard_harness/memory/human_control_snapshot.py; tests/contract/test_pmo_projection.py; tests/contract/test_cost_tracking.py; tests/contract/test_operational_memory.py; tests/contract/test_human_control_snapshot.py; tests/integration/test_dashboard_read_model.py | FP-13: docs/release/final-product-conformance-report-v1.md; docs/release/final-product-inheritance-traceability-matrix-v1.md; docs/release/final-product-docs-command-inventory-v1.md; src/standard_harness/self_improvement/friction.py; src/standard_harness/self_improvement/proposals.py; src/standard_harness/docsops/command_inventory.py; tests/contract/test_self_improvement_lifecycle.py; tests/contract/test_inheritance_traceability_matrix.py; tests/contract/test_docs_command_inventory.py | FP-07A: src/standard_harness/llm/work_products.py; src/standard_harness/llm/report_claims.py; tests/contract/test_llm_work_product_governance.py,Standard,"Adjusted after review: current MVP has no LLM work-product governance implementation; final-product coverage must include FP-05, FP-07, FP-09, FP-10, and FP-13 evidence before this requirement can be claimed implemented. | FP-07A closure: LLM work product classification and decision-influencing claim extraction evidence required. Final-product implementation completed for FP-05;FP-07;FP-09;FP-10;FP-13;FP-07A. Final-product verification: python -m unittest discover -s tests -> Ran 206 tests OK on main after merge commit 118fbf5. No v1.0.0 tag is recorded in this CSV update; formal release tagging remains gated by Human Owner approval."
