"requirement_id","classification","conformance_level","mvp_status","implementation_slice","notes"
"SH-CONF-001","Core","Kernel","not_staged_for_mvp","",""
"SH-CONF-002","Core","Kernel","not_staged_for_mvp","",""
"SH-DOCBASE-001","Core","Kernel","not_staged_for_mvp","",""
"SH-CONF-003","Core","Kernel","not_staged_for_mvp","",""
"SH-VISION-001","Core","Kernel","not_staged_for_mvp","",""
"SH-VISION-002","Core","Kernel","not_staged_for_mvp","",""
"SH-VISION-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-VISION-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-VISION-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-LLM-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-LLM-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-LLM-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-INV-001","Core","Kernel","included","mvp-01",""
"SH-INV-002","Core","Kernel","not_staged_for_mvp","",""
"SH-INV-003","Core","Kernel","not_staged_for_mvp","",""
"SH-INV-004","Core","Kernel","not_staged_for_mvp","",""
"SH-INV-005","Core","Kernel","not_staged_for_mvp","",""
"SH-INV-006","Core","Kernel","not_staged_for_mvp","",""
"SH-INV-007","Core","Kernel","not_staged_for_mvp","",""
"SH-FORM-001","Extension","unmapped_review_required","deferred","post-mvp","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-FORM-002","Core","unmapped_review_required","deferred","post-mvp","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-FORM-003","Core","unmapped_review_required","deferred","post-mvp","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SSOT-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SSOT-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SSOT-003","Core","Kernel","not_staged_for_mvp","",""
"SH-SSOT-004","Core","Kernel","not_staged_for_mvp","",""
"SH-SSOT-005","Core","Kernel","not_staged_for_mvp","",""
"SH-SSOT-006","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SSOT-007","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-SSOT-008","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-REQ-001","Core","Kernel","included","mvp-01",""
"SH-REQ-002","Core","Kernel","included","mvp-01",""
"SH-REQ-003","Core","Kernel","included","mvp-01",""
"SH-REQ-004","Core","Kernel","included","mvp-01",""
"SH-REQ-005","Core","Kernel","partial","mvp-01","MVP partial: manual or explicitly supplied registration only; automated extraction, semantic diff automation, parser confidence, and source-range preservation deferred unless manually supplied."
"SH-COMP-001","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-COMP-002","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-COMP-003","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-COMP-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-COMP-005","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-STATE-001","Core","Kernel","included","mvp-01",""
"SH-STATE-002","Core","Kernel","included","mvp-01",""
"SH-STATE-003","Core","Kernel","included","mvp-01",""
"SH-STATE-004","Core","Kernel","included","mvp-01",""
"SH-STATE-005","Core","High-Integrity","not_staged_for_mvp","",""
"SH-STATE-006","Extension","High-Integrity","deferred","post-mvp",""
"SH-STATE-007","Core","Kernel","included","mvp-01",""
"SH-STATE-008","Core","Kernel","included","mvp-01",""
"SH-STATE-009","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-STATE-010","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-STATE-011","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-STATE-012","Core","High-Integrity","not_staged_for_mvp","",""
"SH-STATE-013","Core","High-Integrity","not_staged_for_mvp","",""
"SH-STATE-014","Core","Kernel","included","mvp-01",""
"SH-STATE-015","Core","Advanced","deferred","post-mvp",""
"SH-STATE-016","Core","Kernel","partial","mvp-01","Kernel/MVP partial: single-branch or single-worktree closeout-time drift detection, expected versus unregistered or ignored classification, and closeout blocking for unregistered packet-owned changes only."
"SH-STATE-017","Core","Advanced","deferred","post-mvp","Advanced git reconciliation deferred from MVP."
"SH-STATE-018","Core","Advanced","deferred","post-mvp","Git reconciliation staging retained; advanced reconciliation deferred from MVP."
"SH-IA-001","Core","Standard","not_staged_for_mvp","",""
"SH-IA-002","Core","Standard","included","mvp-01",""
"SH-IA-003","Core","Standard","not_staged_for_mvp","",""
"SH-IA-004","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-IA-005","Core","Standard","not_staged_for_mvp","",""
"SH-IA-006","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-IA-007","Core","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-IA-008","Core","Standard","included","mvp-01",""
"SH-IA-009","Core","Standard","not_staged_for_mvp","",""
"SH-IA-010","Extension","unmapped_review_required","not_staged_for_mvp","","Not assigned in grouped conformance map; must be classified before implementation planning."
"SH-IA-011","Core","Standard","not_staged_for_mvp","",""
"SH-DOC-001","Core","Standard","not_staged_for_mvp","",""
